mealID,name,description,categoryName,allergens,preferences,nutritionals,servingSize,servingSizeUOM,calories,fat,caloriesFromFat,saturatedFat,transFat,cholesterol,sodium,carbohydrates,dietaryFiber,sugars,addedSugar,protein
26983,Oatmeal GS,,Breakfast,,"Vegan,Gluten Sensitive,Vegetarian,NutriGOOD","{'id': 210553, 'servingSize': '6.00', 'servingSizeUOM': 'oz', 'calories': '127', 'fat': '0', 'caloriesFromFat': '127', 'saturatedFat': '0', 'caloriesFromSatFat': None, 'transFat': '0', 'cholesterol': '0', 'sodium': '2', 'carbohydrates': '24', 'dietaryFiber': '4', 'sugars': '0', 'addedSugar': '0', 'protein': '6', 'corporateProductId': 8312}",6.0,oz,127.0,0.0,127.0,0.0,0.0,0.0,2.0,24.0,4.0,0.0,0.0,6.0

19949,Steamed White Rice,White rice steamed and seasoned with black pepper.,Misc,,"Vegan,Gluten Sensitive,Vegetarian","{'id': 226559, 'servingSize': '3.09', 'servingSizeUOM': 'oz', 'calories': '112', 'fat': '0', 'caloriesFromFat': '112', 'saturatedFat': '0', 'caloriesFromSatFat': None, 'transFat': '0', 'cholesterol': '0', 'sodium': '0', 'carbohydrates': '25', 'dietaryFiber': '1', 'sugars': '0', 'addedSugar': '0', 'protein': '3', 'corporateProductId': 6124}",3.09,oz,112.0,0.0,112.0,0.0,0.0,0.0,0.0,25.0,1.0,0.0,0.0,3.0

15836,Bacon,Freshly cooked bacon.,Breakfast,,Gluten Sensitive,"{'id': 228279, 'servingSize': '0.40', 'servingSizeUOM': 'oz', 'calories': '60', 'fat': '5', 'caloriesFromFat': '60', 'saturatedFat': '2', 'caloriesFromSatFat': None, 'transFat': '0', 'cholesterol': '11', 'sodium': '204', 'carbohydrates': '0', 'dietaryFiber': '0', 'sugars': '0', 'addedSugar': '0', 'protein': '5', 'corporateProductId': 4456}",0.4,oz,60.0,5.0,60.0,2.0,0.0,11.0,204.0,0.0,0.0,0.0,0.0,5.0

17922,Breakfast Bowl with Bacon,"Scrambled eggs topped with bacon, home fries, cheddar cheese and fresh chives.",Breakfast,"Soy,Dairy,Egg",Gluten Sensitive,"{'id': 233081, 'servingSize': '6.00', 'servingSizeUOM': 'oz', 'calories': '354', 'fat': '25', 'caloriesFromFat': '354', 'saturatedFat': '9', 'caloriesFromSatFat': None, 'transFat': '0', 'cholesterol': '292', 'sodium': '959', 'carbohydrates': '9', 'dietaryFiber': '1', 'sugars': '2', 'addedSugar': '0', 'protein': '23', 'corporateProductId': 5269}",6.0,oz,354.0,25.0,354.0,9.0,0.0,292.0,959.0,9.0,1.0,2.0,0.0,23.0

15974,Sauteed Squash Medley with Garlic,"Squash medley saut�ed in garlic and seasoned with oregano, salt and pepper.",Misc,,"Vegan,Gluten Sensitive,Vegetarian,NutriGOOD","{'id': 233664, 'servingSize': '4.17', 'servingSizeUOM': 'oz', 'calories': '63', 'fat': '3', 'caloriesFromFat': '63', 'saturatedFat': '0', 'caloriesFromSatFat': None, 'transFat': '0', 'cholesterol': '0', 'sodium': '248', 'carbohydrates': '8', 'dietaryFiber': '2', 'sugars': '2', 'addedSugar': '0', 'protein': '2', 'corporateProductId': 4594}",4.17,oz,63.0,3.0,63.0,0.0,0.0,0.0,248.0,8.0,2.0,2.0,0.0,2.0

